taxID	Virus	D
126796	Thogoto virus ISOLATE SiAr 126	0.6251606
11195	Sendai virus STRAIN FUSHIMI	0.6251606
928303	Hendra virus ISOLATE HORSE / AUSTRALIA / HENDRA / 1994	0.6251606
11214	Human parainfluenza virus 2 STRAIN TOSHIBA	0.6251606
11624	Lymphocytic choriomeningitis virus STRAIN ARMSTRONG	0.6251606
132487	Measles virus STRAIN SCHWARZ	0.6251606
10363	Human herpesvirus 5 (Human cytomegalovirus) STRAIN TOWNE	0.8267867
380964	Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)	0.62516060
295027	Human herpesvirus 5 (Human cytomegalovirus) STRAIN MERLIN	0.8267867
88776	Influenza A virus STRAIN A / BREVIG MISSION / 1 / 1918 (H1N1)	0.62516060
130763	Influenza A virus STRAIN A / HONG KONG / 156 / 97 (H5N1)	0.62516060
270485	Influenza A virus STRAIN A / CHICKEN / NAKORN-PATOM / THAILAND / CU-K2 / 2004 (H5N1)	0.62516060
31635	Dengue virus 2 STRAIN 16681-PDK53	0.62516060
33727	Marburg virus STRAIN MUSOKE	0.6251606
641501	Influenza A virus STRAIN A / CALIFORNIA / 04 / 2009 (H1N1)	0.62516060
28292	Sandfly fever Sicilian virus	0.6251606
11099	Bovine viral diarrhea virus 1	0.6251606
680716	Influenza A virus STRAIN A / CHICKEN / CHINA / 27402 / 1997 (H5N1)	0.62516060
796210	La Crosse virus ISOLATE L78	0.6251606
10366	Murid herpesvirus 1	0.8267867
652953	Newcastle disease virus STRAIN B1 / 48	0.6251606
11759	strain C3H (mmtvc)	0.6496142
11691	Human immunodeficiency virus 1 (HIV1) ISOLATE SF162	0.64961425
11045	Rubella virus STRAIN THERIEN	0.6251606
11044	Rubella virus STRAIN RA27 / 3 VACCINE	0.6251606
11137	Human coronavirus 229E	0.2919691
11862	Avian erythroblastosis virus STRAIN SLOAN-KETTERING	0.6496142
122586	Neisseria meningitidis SEROGROUP B STRAIN MC58	1.00000000
636	Edwardsiella tarda	1.0000000
272561	Chlamydia trachomatis STRAIN D / UW-3 / CX	1.0000000
1260	Finegoldia magna	1.0000000
243243	Mycobacterium avium STRAIN 104	1.0000000
588858	Salmonella enterica SUBSPECIES ENTERICA SEROVAR TYPHIMURIUM STRAIN 14028S	1.00000000
224914	Brucella melitensis BIOTYPE 1 STRAIN 16M	1.0000000
242619	Porphyromonas gingivalis STRAIN W83	1.0000000
11717	Human immunodeficiency virus 2 (HIV2) ISOLATE GHANA-1	0.6496142
11738	Simian immunodeficiency virus ISOLATE PBJ14 / BCL-3	0.64961425
1979160	Human rubulavirus 2	0.6251606
11167	Mumps virus STRAIN ENDERS	0.6251606
11234	Measles virus	0.6251606
11233	strain Onderstepoort (cdvo)	0.6251606
36409	Rinderpest virus STRAIN RBOK	0.6251606
11241	strain Sa (rind-sa)	0.6251606
11232	Canine morbillivirus	0.6251606
2593991	Peste-des-petits-ruminants virus (Peste-des-petits-ruminants virus)	0.6251606
585	Proteus vulgaris	1.0000000
11801	Moloney murine leukemia virus	0.64961425
12104	Encephalomyocarditis virus	0.4870937
31647	Hepatitis C virus SUBTYPE 1B	0.62516060
31530	Myxoma virus STRAIN LAUSANNE	0.8267867
12118	Foot-and-mouth disease virus - TYPE O	0.4870937
480019	Influenza A virus  STRAIN A / Moscow / 10 / 1999 (H3N2)	0.62516060
294747	Candida tropicalis STRAIN ATCC MYA-3404	1.0000000
11198	Sendai virus  STRAIN Z	0.6251606
257310	Bordetella bronchiseptica STRAIN RB50	1.0000000
271848	Burkholderia thailandensis STRAIN E264	1.0000000
106820	Hepatitis B virus SUBTYPE ADR	0.6496142
11100	Bovine viral diarrhea virus 1 ISOLATE NADL	0.6251606
303316	Influenza A virus  STRAIN A / Hatay / 2004 (H5N1)	0.62516060
642261	Influenza A virus  STRAIN A / California / 08 / 2009 (H1N1)	0.62516060
648235	Murine minute virus STRAIN MVM PROTOTYPE	0.8267867
928296	Borna disease virus STRAIN V	0.6251606
1205899	Phlebovirus JS2010-014	0.6251606
11098	Classical swine fever virus STRAIN BRESCIA	0.6251606
450149	Simian rotavirus A STRAIN SA11-H96	0.62516060
10970	Rotavirus sp.	0.6251606
747	Pasteurella multocida	1.0000000
31634	Dengue virus 2 STRAIN 16681	0.62516060
1173018	Phlebovirus WCH/97/HN/China/2011	0.6251606
10367	Murine cytomegalovirus STRAIN SMITH	0.8267867
10369	Human herpesvirus 6 STRAIN GS	0.8267867
11927	Human T-lymphotropic virus 1 ISOLATE CARIBBEAN	0.64961425
11909	Human T-cell lymphotrophic virus TYPE 2	0.6496142
992212	SFTS virus HB29	0.6251606
211787	Human papillomavirus TYPE 92 (HPV92)	0.8267867
10617	Human papillomavirus TYPE 4 (HPV4)	0.8267867
37958	Human papillomavirus TYPE 37 (HPV37)	0.8267867
247268	Human papillomavirus TYPE 93 (HPV93)	0.8267867
37959	Human papillomavirus TYPE 38 (HPV38)	0.8267867
247269	Human papillomavirus TYPE 96 (HPV96)	0.8267867
148942	Streptococcus equi SUBSPECIES EQUI	1.0000000
421879	Hepatitis C virus ISOLATE HCR6	0.62516060
512346	Hepatitis E virus genotype 1 (isolate Human/India/Hyderabad)	0.62516060
11723	Simian immunodeficiency virus (siv)	0.6496142
10390	Gallid alphaherpesvirus 2	0.8267867
10389	Gallid herpesvirus 1 STRAIN MD5	0.8267867
333923	Human papillomavirus TYPE 5 (HPV 5)	0.8267867
1891762	Human polyomavirus 1	0.8267867
10586	Human papillomavirus TYPE 33 (HPV 33)	0.8267867
11097	Hog cholera virus STRAIN ALFORT	0.62516060
31518	Bovine herpesvirus TYPE 1 / STRAIN JURA	0.82678670
79889	Bovine herpesvirus TYPE 1.1	0.82678670
10320	Bovine alphaherpesvirus 1	0.8267867
10324	Bovine herpesvirus TYPE 1.1 / STRAIN P8-2	0.82678670
10385	Bovine gammaherpesvirus 4	0.8267867
10323	Bovine herpesvirus TYPE 1.1 (STRAIN COOPER)	0.82678670
11060	Dengue virus 2	0.62516060
172148	Alkhumra hemorrhagic fever virus	0.6251606
11078	Kunjin virus STRAIN MRM61C	0.6251606
11084	Tick-borne encephalitis virus	0.6251606
11072	Japanese encephalitis virus	0.6251606
11053	Dengue virus 1	0.62516060
440390	Influenza A virus STRAIN A / TURKEY / 651242 / 2006 (H5N1)	0.62516060
402527	Influenza A virus STRAIN A / CHICKEN / SCOTLAND / 1959 (H5N1)	0.62516060
363744	Influenza A virus STRAIN A / CHICKEN / KURGAN / 3 / 2005 (H5N1)	0.62516060
644788	Influenza A virus STRAIN A / VIETNAM / 1194 / 2004 (H5N1)	0.62516060
380337	Influenza A virus STRAIN A / EQUINE / PRAGUE / 1 / 1956 (H7N7)	0.62516060
329599	Influenza A virus STRAIN A / CHICKEN / GUANGDONG / 6 / 97 (H9N2)	0.6251606
39457	Human papillomavirus TYPE 70 (HPV70)	0.8267867
10588	Human papillomavirus TYPE 39 (HPV 39)	0.8267867
10587	Human papillomavirus TYPE 35 (HPV35)	0.8267867
387262	Influenza A virus STRAIN A / TURKEY / CANADA / 1963 (H6N8)	0.6251606
39015	Human T-lymphotropic virus 1 ISOLATE AFRICAN	0.64961425
10602	Human papillomavirus TYPE ME180	0.8267867
45240	Human papillomavirus TYPE 68 (HPV68)	0.8267867
333762	Human papillomavirus TYPE 26 (HPV26)	0.8267867
10595	Human papillomavirus TYPE 51 (HPV51)	0.8267867
382838	Influenza A virus STRAIN A / CHICKEN / GERMANY / N / 1949 (H10N7)	0.6251606
31663	Influenza A virus STRAIN A / TURKEY / BETHLEHEM-GLILIT / 1492-B / 1982 (H1N1)	0.62516060
10269	Sheeppox virus STRAIN KS-1	0.8267867
694007	Tylonycteris bat coronavirus HKU4	0.2477444
694008	Pipistrellus bat coronavirus HKU5	0.2477444
388819	Human immunodeficiency virus 1 (HIV1) GROUP N ISOLATE YBF106	0.6496142
388912	Simian immunodeficiency virus ISOLATE EK505	0.6496142
561444	African swine fever virus ISOLATE WARTHOG / NAMIBIA / WART80 / 1980	0.8267867
402046	Human T-cell leukemia virus 1 ISOLATE MELANESIA MEL5 SUBTYPE C	0.64961425
406769	Human T-cell leukemia virus 3 STRAIN  Pyl43	0.6496142
45418	Rabies virus STRAIN vnukovo-32	0.6251606
654902	Elephantid herpesvirus 1 (isolate Kiba)	0.8267867
10345	Suid alphaherpesvirus 1	0.8267867
31520	Equine herpesvirus TYPE 1 / STRAIN AB4P	0.8267867
10329	Equine herpesvirus  1 (Equid herpesvirus  1) STRAIN KENTUCKY A	0.8267867
82831	Equine herpesvirus TYPE 2 / STRAIN 86/87	0.8267867
10326	Equid alphaherpesvirus 1	0.8267867
358769	Classical swine fever virus ALFORT / 187	0.62516060
643960	Influenza A virus STRAIN A / NEW YORK / 1682 / 2009 (H1N1)	0.62516060
284218	Influenza A virus  STRAIN A / Vietnam / 1203 / 2004 (H5N1)	0.62516060
2115	Mycoplasma fermentans	1.0000000
272635	Mycoplasma pulmonis STRAIN UAB CTIP	1.0000000
10621	Human papillomavirus TYPE 9 (HPV 9)	0.8267867
31552	Human papillomavirus 6 (HPV 6)	0.8267867
333763	Human papillomavirus TYPE 32 (HPV 32)	0.8267867
186538	Zaire Ebolavirus	0.6251606
2100	Mycoplasma hyorhinis	1.0000000
212717	Clostridium tetani STRAIN E88	1.0000000
221016	Influenza A virus STRAIN A / QUEENSLAND / 7 /70 (H3N2)	0.62516060
637910	Citrobacter rodentium STRAIN ICC168	1.0000000
295358	Mycoplasma hyopneumoniae STRAIN 232	1.0000000
262719	Mycoplasma hyopneumoniae STRAIN J	1.0000000
362651	Human immunodeficiency virus 1 ISOLATE YU2	0.64961425
5835	Plasmodium falciparum STRAIN CAMP/Malaysia	1.0000000
578454	Candida parapsilosis STRAIN CDC 317	1.0000000
11122	Avian infectious bronchitis virus STRAIN BEAUDETTE	0.2919691
11034	Sindbis virus	0.6251606
158878	Staphylococcus aureus STRAIN Mu50 / ATCC 700699	1.00000000
12643	Ectromelia virus	0.8267867
666	Vibrio cholerae	1.0000000
471472	strain 434/Bu / ATCC VR-902B (chlt2)	1.0000000
128951	Zaire ebolavirus STRAIN 1995	0.62516060
10259	Orf virus STRAIN NZ2	0.8267867
388814	Human immunodeficiency virus 1 (HIV1) GROUP M SUBTYPE F1 ISOLATE 93BR020	0.64961425
388826	Human immunodeficiency virus 1 (HIV1) GROUP M SUBTYPE H ISOLATE 90CF056	0.64961425
437607	Influenza A virus STRAIN A / hvPR8 / 34 (H1N1)	0.62516060
31762	Hepatitis D virus ISOLATE D380	0.6496142
10419	Hepatitis B virus SUBTYPE ADYW	0.6496142
647330	Orf virus STRAIN SA00	0.8267867
493803	Merkel cell polyomavirus	0.8267867
272621	strain ATCC 700396 / NCK56 / N2 / NCFM (lacac)	1.0000000
11886	Rous sarcoma virus	0.6496142
446	Legionella pneumophila	1.0000000
487	Neisseria meningitidis	1.0000000
11709	Human immunodeficiency virus 2 (HIV2)	0.6496142
132475	Yaba-like disease virus	0.8267867
35269	Woodchuck hepatitis virus	0.6496142
11963	Human spumaretrovirus	0.6496142
311339	Human herpesvirus 5 STRAIN TOLEDO	0.8267867
10408	Hepatitis B virus SUBTYPE ADW2	0.64961425
1309	Streptococcus mutans	1.0000000
36351	Human herpesvirus 6 STRAIN Z29	0.8267867
10310	Human herpesvirus 2	0.8267867
1334565	Listeria monocytogenes serotype 1/2a (lismg)	1.0000000
37124	Chikungunya virus	0.6251606
652961	Crimean-Congo hemorrhagic fever virus STRAIN IbAr10200	0.6251606
155864	Escherichia coli O157:H7 str. EDL933 (escherichia coli o157:h7 str. edl933)	1.00000000
5664	Leishmania major (leima)	1.0000000
11712	Simian immunodeficiency virus - sm (simian immunodeficiency virus - sm)	0.64961425
126793	Plasmodium vivax STRAIN SAL-1	1.0000000
518987	Influenza B virus STRAIN B / LEE / 1940	0.6251606
45455	Macacine gammaherpesvirus 4	0.8267867
11590	Toscana virus	0.6251606
10500	African swine fever virus ISOLATE MALAWI LIL 20 / 1	0.8267867
1235996	Human betacoronavirus 2C EMC / 2012	0.2477444
172045	Elizabethkingia miricola	1.0000000
11797	Friend murine leukemia virus ISOLATE FB29	0.6496142
1639	Listeria monocytogenes	1.0000000
10258	Orf virus	0.8267867
11142	Murine coronavirus STRAIN A59	0.2477444
31684	Simian immunodeficiency virus (SIV) ISOLATE AGM / CLONE GRI-1	0.64961425
319701	strain MGAS6180 (strain MGAS6180)	1.0000000
2316109	isolate ZIKV/Human/Cambodia/FSS13025/2010 (ZIKVK)	0.6251606
945062	ED43-NS5A (ed43-ns5a)	0.6251606
227377	strain RSA 493 / Nine Mile phase I (coxbu)	1.0000000
64320	strain Mr 766 (zikv)	0.6251606
1334	Streptococcus dysgalactiae	1.0000000
103904	Coxsackievirus B3 STRAIN WOODRUFF	0.4870937
12131	Human rhinovirus 14 (hrv14)	0.4870937
487099	strain S23 (Uuk)	0.6251606
384505	strain A/Northern Territory/60/1968 H3N2 (strain NT60)	0.62516060
31631	Human coronavirus OC43 (HCoV-OC43)	0.2477444
12475	Hepatitis delta virus (hdv)	0.6496142
652616	strain ATCC 35801 / TMC 107 / Erdman (strain ATCC 35801 / TMC 107 / Erdman)	1.0000000
694067	Human metapneumovirus STRAIN CAN97-83	0.6251606
1263720	isolate United Kingdom/H123990006/2012 (Betacoronavirus England 1)	0.2477444
2697049	SARS-COV-2	0.0000000
228330	SARS coronavirus Urbani (SARS coronavirus Urbani)	0.1475821
10308	Human herpesvirus 1 STRAIN PATTON	0.8267867
587200	Variola virus ISOLATE HUMAN / INDIA / Ind3 / 1967	0.8267867
10714	Corynephage omega	0.8267867
272623	strain IL1403 (lacla)	1.0000000
11942	Simian retrovirus SRV-1 (srv1)	0.6496142
130308	Human adenovirus E	0.8267867
46018	Human echovirus 7	0.4870937
70146	Measles virus STRAIN EDMONSTON-B	0.62516060
11866	Avian myeloblastosis virus (AMV)	0.6496142
301452	Streptococcus pyogenes SEROTYPE M49	1.0000000
4754	Pneumocystis carinii	1.0000000
329389	Hepatitis C virus ISOLATE GLASGOW	0.6251606
155218	Influenza A virus  STRAIN A / Hong Kong / 482 / 97 (H5N1)	0.62516060
393902	Influenza A virus  STRAIN A / Wisconsin / 67 / 2005 (H3N2)	0.62516060
464623	Influenza A virus  STRAIN A / Solomon Islands / 3 / 2006 (H1N1)	0.62516060
10933	Bovine rotavirus STRAIN RF	0.6251606
11250	Human orthopneumovirus	0.6251606
31547	Human papillomavirus TYPE 20 (HPV20)	0.8267867
11273	Chandipura virus STRAIN I653514	0.6251606
272843	Pasteurella multocida SUBSPECIES MULTOCIDA STRAIN PM70	1.0000000
11059	Dengue virus 1 STRAIN WESTERN PACIFIC	0.62516060
669984	Influenza A virus (669984)	0.62516060
1663996	Influenza A virus (H7N9)	0.6251606
375177	Haemophilus influenzae STRAIN 3655	1.0000000
862964	Haemophilus influenzae STRAIN 10810	1.0000000
