,taxID,Virus,exact_match,loose_match,drugs_exact,drugs_loose,Host_parsed,Human_host
409,388819,Human immunodeficiency virus 1 (HIV1) GROUP N ISOLATE YBF106,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
410,388912,Simian immunodeficiency virus ISOLATE EK505,0,1,NA,DB02325;DB03740;DB04473;DB04191;DB07722,human|vertebrates,1
412,402046,Human T-cell leukemia virus 1 ISOLATE MELANESIA MEL5 SUBTYPE C,0,0,NA,NA,human|vertebrates,1
413,406769,Human T-cell leukemia virus 3 STRAIN  Pyl43,0,0,NA,NA,human|vertebrates,1
414,45418,Rabies virus STRAIN vnukovo-32,0,1,NA,DB11603,human|vertebrates,1
422,643960,Influenza A virus STRAIN A / NEW YORK / 1682 / 2009 (H1N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
423,284218,Influenza A virus  STRAIN A / Vietnam / 1203 / 2004 (H5N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
426,10621,Human papillomavirus TYPE 9 (HPV 9),0,0,NA,NA,human|vertebrates,1
427,31552,Human papillomavirus 6 (HPV 6),0,1,NA,DB04330,human|vertebrates,1
429,186538,Zaire Ebolavirus,0,1,NA,DB11676;DB14761,human|vertebrates,1
432,221016,Influenza A virus STRAIN A / QUEENSLAND / 7 /70 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
436,362651,Human immunodeficiency virus 1 ISOLATE YU2,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
439,11122,Avian infectious bronchitis virus STRAIN BEAUDETTE,0,0,NA,NA,human|vertebrates,1
442,12643,Ectromelia virus,0,0,NA,NA,human|vertebrates,1
445,128951,Zaire ebolavirus STRAIN 1995,0,1,NA,DB11676;DB14761,human|vertebrates,1
446,10259,Orf virus STRAIN NZ2,0,0,NA,NA,human|vertebrates,1
447,388814,Human immunodeficiency virus 1 (HIV1) GROUP M SUBTYPE F1 ISOLATE 93BR020,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
448,388826,Human immunodeficiency virus 1 (HIV1) GROUP M SUBTYPE H ISOLATE 90CF056,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
449,437607,Influenza A virus STRAIN A / hvPR8 / 34 (H1N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
450,31762,Hepatitis D virus ISOLATE D380,0,0,NA,NA,human|vertebrates,1
451,10419,Hepatitis B virus SUBTYPE ADYW,0,1,NA,DB05020;DB05276;DB09299;DB14126;DB00300;DB00718;DB13868;DB00709;DB01265,human|vertebrates,1
452,647330,Orf virus STRAIN SA00,0,0,NA,NA,human|vertebrates,1
462,11963,Human spumaretrovirus,0,0,NA,NA,human|vertebrates,1
464,10408,Hepatitis B virus SUBTYPE ADW2,0,1,NA,DB05020;DB05276;DB09299;DB14126;DB00300;DB00718;DB13868;DB00709;DB01265,human|vertebrates,1
466,36351,Human herpesvirus 6 STRAIN Z29,0,0,NA,NA,human|vertebrates,1
467,10310,Human herpesvirus 2,0,1,NA,DB09299;DB14126,human|vertebrates,1
473,11712,Simian immunodeficiency virus - sm (simian immunodeficiency virus - sm),0,1,NA,DB02325;DB03740;DB04473;DB04191;DB07722,human|vertebrates,1
475,518987,Influenza B virus STRAIN B / LEE / 1940,1,1,DB03342;DB03475;DB07762;DB08570,DB03342;DB03475;DB07762;DB08570,human|vertebrates,1
479,1235996,Human betacoronavirus 2C EMC / 2012,0,0,NA,NA,human|vertebrates,1
482,11797,Friend murine leukemia virus ISOLATE FB29,0,1,NA,DB07499;DB08331,human|vertebrates,1
484,10258,Orf virus,0,0,NA,NA,human|vertebrates,1
489,31684,Simian immunodeficiency virus (SIV) ISOLATE AGM / CLONE GRI-1,0,1,NA,DB02325;DB03740;DB04473;DB04191;DB07722,human|vertebrates,1
492,945062,ED43-NS5A (ed43-ns5a),0,1,NA,DB01720;DB04005;DB02331;DB03605;DB04005;DB04137;DB04298;DB06974;DB07062;DB07169;DB07199;DB07200;DB07238;DB07414;DB07570;DB08031;DB08278;DB08279;DB08390;DB08481;DB08578;DB08579;DB08580;DB08581;DB08582;DB08701;DB08706;DB08710;DB11586;DB03388;DB03647;DB05868;DB06058;DB07582;DB11779;DB07238;DB08644;DB08701;DB08747;DB05060;DB07199;DB07200;DB08934;DB05521;DB08873;DB09297;DB11575;DB12026;DB06290;DB07582;DB13879;DB09027;DB09102;DB09296;DB11574;DB11613;DB13878;DB09183;DB06913;DB07085;DB07185;DB07273;DB07275;DB07547;DB07770;DB08556,human|vertebrates,1
496,103904,Coxsackievirus B3 STRAIN WOODRUFF,1,1,DB08231,DB08231,human|vertebrates,1
499,384505,strain A/Northern Territory/60/1968 H3N2 (strain NT60),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
500,31631,Human coronavirus OC43 (HCoV-OC43),0,0,NA,NA,human|vertebrates,1
501,12475,Hepatitis delta virus (hdv),0,0,NA,NA,human|vertebrates,1
503,694067,Human metapneumovirus STRAIN CAN97-83,0,0,NA,NA,human|vertebrates,1
504,1263720,isolate United Kingdom/H123990006/2012 (Betacoronavirus England 1),0,0,NA,NA,human|vertebrates,1
505,2697049,SARS-COV-2,0,1,NA,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,human|vertebrates,1
506,228330,SARS coronavirus Urbani (SARS coronavirus Urbani),0,1,NA,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,human|vertebrates,1
507,10308,Human herpesvirus 1 STRAIN PATTON,0,1,NA,DB00194;DB00249;DB00577;DB00299;DB00426;DB00529;DB00577;DB00787;DB01004;DB13896;DB00299;DB00787;DB01004;DB01643;DB02324;DB02495;DB02500;DB02765;DB02921;DB03000;DB03280;DB03312;DB03804;DB04139;DB04485;DB03419;DB13421,human|vertebrates,1
515,130308,Human adenovirus E,0,0,NA,NA,human|vertebrates,1
516,46018,Human echovirus 7,0,1,NA,DB08231;DB08726;DB08231;DB08231;DB08231;DB03203;DB08231,human|vertebrates,1
519,70146,Measles virus STRAIN EDMONSTON-B,0,1,NA,DB03309,human|vertebrates,1
527,329389,Hepatitis C virus ISOLATE GLASGOW,0,1,NA,DB01720;DB04005;DB02331;DB03605;DB04005;DB04137;DB04298;DB06974;DB07062;DB07169;DB07199;DB07200;DB07238;DB07414;DB07570;DB08031;DB08278;DB08279;DB08390;DB08481;DB08578;DB08579;DB08580;DB08581;DB08582;DB08701;DB08706;DB08710;DB11586;DB03388;DB03647;DB05868;DB06058;DB07582;DB11779;DB07238;DB08644;DB08701;DB08747;DB05060;DB07199;DB07200;DB08934;DB05521;DB08873;DB09297;DB11575;DB12026;DB06290;DB07582;DB13879;DB09027;DB09102;DB09296;DB11574;DB11613;DB13878;DB09183;DB06913;DB07085;DB07185;DB07273;DB07275;DB07547;DB07770;DB08556,human|vertebrates,1
528,155218,Influenza A virus  STRAIN A / Hong Kong / 482 / 97 (H5N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
529,393902,Influenza A virus  STRAIN A / Wisconsin / 67 / 2005 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
530,464623,Influenza A virus  STRAIN A / Solomon Islands / 3 / 2006 (H1N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
531,10933,Bovine rotavirus STRAIN RF,0,0,NA,NA,human|vertebrates,1
533,31547,Human papillomavirus TYPE 20 (HPV20),0,0,NA,NA,human|vertebrates,1
537,669984,Influenza A virus (669984),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
538,1663996,Influenza A virus (H7N9),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
541,11703,Human immunodeficiency virus 1 (HIV1) STRAIN UGANDAN / ISOLATE U455,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
542,388824,Human immunodeficiency virus 1 (HIV1) GROUP M SUBTYPE G ISOLATE SE6165 (HIV-1),0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
543,11683,Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
544,489541,Hepatitis B virus GENOTYPE H SUBTYPE ADW4 ISOLATE NICARAGUA / 2928 NIC / 1997,0,1,NA,DB05020;DB05276;DB09299;DB14126;DB00300;DB00718;DB13868;DB00709;DB01265,human|vertebrates,1
545,11705,Human immunodeficiency virus 1 (HIV1) ISOLATE WMJ2,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
546,284208,Influenza A virus STRAIN A / GF / HK / 38 / 2002 (H5N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
547,10243,Cowpox virus,0,0,NA,NA,human|vertebrates,1
549,32606,Rabbitpox virus,0,1,NA,DB01752;DB01960;DB01978;DB03164;DB03358;DB03493;DB04103;DB04314;DB02264;DB03959;DB04786,human|vertebrates,1
552,349975,Simian immunodeficiency virus (SIV) - agm. tan-1,0,1,NA,DB02325;DB03740;DB04473;DB04191;DB07722,human|vertebrates,1
557,46936,Human adenovirus 36,0,1,NA,DB03721;DB03721,human|vertebrates,1
562,655603,Human klassevirus 1 (Human klassevirus 1),0,0,NA,NA,human|vertebrates,1
563,103911,strain Harris (HPeV-1),0,0,NA,NA,human|vertebrates,1
565,284672,SARS coronavirus TJF (SARS coronavirus TJF),0,1,NA,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,human|vertebrates,1
566,2709072,bat coronavirus  RaTG13 (bat coronavirus  RaTG13),0,1,NA,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,human|vertebrates,1
568,296839,SARS coronavirus PC4-145 (SARS coronavirus PC4-145),0,1,NA,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,human|vertebrates,1
569,305401,Severe acute respiratory syndrome (SARS) coronavirus,0,1,NA,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,human|vertebrates,1
570,385636,Influenza A virus STRAIN A / TURKEY / OREGON / 1971 (H7N3),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
572,10422,Hepatitis D virus ISOLATE AMERICAN,0,0,NA,NA,human|vertebrates,1
575,45410,Hepatitis B virus SUBTYPE ADW4 / STRAIN BRAZIL / ISOLATE W4B,1,1,DB00709;DB01265,DB00709;DB01265,human|vertebrates,1
576,31646,Hepatitis C virus SUBTYPE 1A,0,1,NA,DB01720;DB04005;DB02331;DB03605;DB04005;DB04137;DB04298;DB06974;DB07062;DB07169;DB07199;DB07200;DB07238;DB07414;DB07570;DB08031;DB08278;DB08279;DB08390;DB08481;DB08578;DB08579;DB08580;DB08581;DB08582;DB08701;DB08706;DB08710;DB11586;DB03388;DB03647;DB05868;DB06058;DB07582;DB11779;DB07238;DB08644;DB08701;DB08747;DB05060;DB07199;DB07200;DB08934;DB05521;DB08873;DB09297;DB11575;DB12026;DB06290;DB07582;DB13879;DB09027;DB09102;DB09296;DB11574;DB11613;DB13878;DB09183;DB06913;DB07085;DB07185;DB07273;DB07275;DB07547;DB07770;DB08556,human|vertebrates,1
