,taxID,Virus,exact_match,loose_match,drugs_exact,drugs_loose,Host_parsed,Human_host
455,6956,Dermatophagoides pteronyssinus (derpt),0,0,NA,NA,Non-Viral_Metazoa,0
481,7108,Fall armyworm (spofr),0,0,NA,NA,Non-Viral_Metazoa,0
485,121224,Pediculus humanus subsp. corporis (pedhc),0,1,NA,DB13746,Non-Viral_Metazoa,0
512,7111,Cabbage looper (trini),0,0,NA,NA,Non-Viral_Metazoa,0
517,9597,Pygmy chimpanzee (panpa),0,0,NA,NA,Non-Viral_Metazoa,0
518,6945,Black-legged tick (ixosc),0,0,NA,NA,Non-Viral_Metazoa,0
520,8649,Naja kaouthia (monocled cobra),0,0,NA,NA,Non-Viral_Metazoa,0
524,6491,Conus geographus (conge),0,0,NA,NA,Non-Viral_Metazoa,0
525,51250,Neobatrachus sudelli (neobatrachus sudelli),0,0,NA,NA,Non-Viral_Metazoa,0
556,389514,Sabellastarte magnifica (sabma),0,0,NA,NA,Non-Viral_Metazoa,0
558,8717,Calloselasma rhodostoma (calrh),0,0,NA,NA,Non-Viral_Metazoa,0
561,8005,Electrophorus electricus (eleel),0,0,NA,NA,Non-Viral_Metazoa,0
365,32630,synthetic construct (synthetic construct),0,0,NA,NA,Manual Curation,0
687,10654,Rice tungro bacilliform virus (RTBE),0,0,NA,NA,Land Plants,0
7,559292,Saccharomyces cerevisiae (yeast),1,1,DB00634;DB06890;DB07560;DB07568;DB07569;DB07572;DB07635,DB00634;DB06890;DB07560;DB07568;DB07569;DB07572;DB07635,Manual Curation,0
25,284812,strain ATCC 38366 / 972 (schpo),0,0,NA,NA,Manual Curation,0
57,44689,Slime mold (dicdi),0,0,NA,NA,Manual Curation,0
65,4932,Baker's yeast (yeasx),0,1,NA,DB00634;DB06890;DB07560;DB07568;DB07569;DB07572;DB07635,Manual Curation,0
126,510516,strain ATCC 42149 / RIB 40 (aspor),0,0,NA,NA,Manual Curation,0
142,367110,strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987 (neucr),0,0,NA,NA,Manual Curation,0
159,224325,strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126 (arcfu),0,0,NA,NA,Manual Curation,0
249,5755,Acanthamoeba castellanii,0,0,NA,NA,Manual Curation,0
262,655827,strain CQMa 102 (metaq),0,0,NA,NA,Manual Curation,0
487,644223,strain GS115 / ATCC 20864 (picpg),0,0,NA,NA,Manual Curation,0
513,64574,Radiomyces spectabilis,0,0,NA,NA,Manual Curation,0
